Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection,admin1_normalized,analysis_date
Mar 2025,LBN,5574517,Jezzine,2025-04-01,2025-06-30,31158.0,2143.0,0.07,10515.0,0.34,18500.0,0.59,2143.0,0.07,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,31158.0,1948.0,0.06,10515.0,0.34,18695.0,0.6,1948.0,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Jezzine,2025-03-01
Nov 2024,LBN,5574517,Jbeil,2024-10-01,2024-11-30,171155.0,19520.0,0.11,80769.0,0.47,70866.0,0.41,19520.0,0.11,0.0,0.0,0.0,0.0,2024-12-01,2025-03-31,134273.0,8136.0,0.06,65003.0,0.48,61134.0,0.46,8136.0,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2024-11-01
Nov 2024,LBN,5574517,Akkar,2024-10-01,2024-11-30,512510.0,205004.0,0.4,68591.0,0.13,238915.0,0.47,179379.0,0.35,25626.0,0.05,0.0,0.0,2024-12-01,2025-03-31,453512.0,204080.0,0.45,60395.0,0.13,189037.0,0.42,181405.0,0.4,22676.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,Akkar,2024-11-01
Nov 2024,LBN,5574517,Aley,2024-10-01,2024-11-30,416267.0,79547.0,0.19,155102.0,0.37,181618.0,0.44,79547.0,0.19,0.0,0.0,0.0,0.0,2024-12-01,2025-03-31,348552.0,49960.0,0.14,129351.0,0.37,169241.0,0.49,49960.0,0.14,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2024-11-01
Nov 2024,LBN,5574517,El koura,2024-10-01,2024-11-30,107157.0,11604.0,0.11,46083.0,0.43,49470.0,0.46,11604.0,0.11,0.0,0.0,0.0,0.0,2024-12-01,2025-03-31,96629.0,10528.0,0.11,41479.0,0.43,44622.0,0.46,10528.0,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,El koura,2024-11-01
Nov 2024,LBN,5574517,Marjaayoun,2024-10-01,2024-11-30,,,,,,,,,,,,,,2024-12-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marjaayoun,2024-11-01
Nov 2024,LBN,5574517,El hermel,2024-10-01,2024-11-30,19436.0,9416.0,0.48,1609.0,0.08,8411.0,0.43,6501.0,0.33,2915.0,0.15,0.0,0.0,2024-12-01,2025-03-31,32985.0,15957.0,0.48,2742.0,0.08,14286.0,0.43,12658.0,0.38,3299.0,0.1,0.0,0.0,,,,,,,,,,,,,,,,El hermel,2024-11-01
Nov 2024,LBN,5574517,Tripoli,2024-10-01,2024-11-30,275663.0,102770.0,0.37,73267.0,0.27,99626.0,0.36,88987.0,0.32,13783.0,0.05,0.0,0.0,2024-12-01,2025-03-31,262027.0,107811.0,0.41,69606.0,0.27,84609.0,0.32,94710.0,0.36,13101.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,North,2024-11-01
Nov 2024,LBN,5574517,Chouf,2024-10-01,2024-11-30,429025.0,95561.0,0.22,156976.0,0.37,176488.0,0.41,95561.0,0.22,0.0,0.0,0.0,0.0,2024-12-01,2025-03-31,292101.0,50969.0,0.17,106109.0,0.36,135022.0,0.46,50969.0,0.17,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2024-11-01
Nov 2024,LBN,5574517,El minieh-dennie,2024-10-01,2024-11-30,218510.0,80549.0,0.37,35561.0,0.16,102400.0,0.47,69624.0,0.32,10926.0,0.05,0.0,0.0,2024-12-01,2025-03-31,200939.0,84245.0,0.42,32449.0,0.16,84245.0,0.42,74198.0,0.37,10047.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,North,2024-11-01
