date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,baseline_usd,price_index,is_basket_item
2013-01-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2007.81,1.34,1.7433116883116881,76.86519909114614,False
2013-01-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1775.95,1.18,1.2923497267759563,91.30655391120507,False
2013-01-15,North,Tripoli,North,1705,34.44,35.83,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1958.7,1.3,1.4978538812785387,86.79084230100906,False
2013-01-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7000.0,4.66,3.501741935483871,133.07662545829726,True
2013-01-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2312.5,1.54,1.7433116883116881,88.33761686594407,False
2013-01-15,North,Zgharta,Zgharta,1709,34.4,35.9,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2013-01-15,South,Saida,South,1704,33.56,35.38,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7000.0,4.66,3.501741935483871,133.07662545829726,True
2013-01-15,South,Saida,South,1704,33.56,35.38,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1906.25,1.27,1.2923497267759563,98.27061310782241,False
2013-01-15,South,Saida,South,1704,33.56,35.38,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2500.0,1.67,1.4978538812785387,111.49285126360395,False
2013-01-15,South,Sour,Sour,1706,33.27,35.2,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7333.33,4.89,3.501741935483871,139.64478508392136,True
2013-01-15,South,Sour,Sour,1706,33.27,35.2,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1640.72,1.09,1.7433116883116881,62.52467687264872,False
2013-01-15,South,Sour,Sour,1706,33.27,35.2,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,2006.75,1.34,1.2923497267759563,103.68710359408036,False
2013-01-15,South,Sour,Sour,1706,33.27,35.2,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2937.5,1.96,1.4978538812785387,130.8538853153675,False
2013-02-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1810.0,1.21,1.2923497267759563,93.62790697674419,False
2013-02-15,Akkar,Akkar,Akkar,1684,34.53,36.08,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,16242.68,10.83,7.084666666666666,152.86534299425992,True
2013-02-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6484.85,4.32,3.501741935483871,123.36717209867902,True
2013-02-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1815.31,1.21,1.7433116883116881,69.40812753752748,False
2013-02-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1696.32,1.13,1.2923497267759563,87.43763213530654,False
